id,food_id,tag_id,confidence,source,created_at,updated_at
1,1,1,0.8,LLM,2025-11-21 21:27:01.578914,2025-11-21 21:27:01.578929
2,1,2,0.85,LLM,2025-11-21 21:27:01.578933,2025-11-21 21:27:01.578935
3,1,3,0.7,LLM,2025-11-21 21:27:01.578937,2025-11-21 21:27:01.578938
4,2,1,0.9,LLM,2025-11-21 21:27:01.578940,2025-11-21 21:27:01.578941
5,2,4,0.85,LLM,2025-11-21 21:27:01.578943,2025-11-21 21:27:01.578944
6,2,5,0.75,LLM,2025-11-21 21:27:01.578946,2025-11-21 21:27:01.578948
7,3,6,0.8,LLM,2025-11-21 21:27:01.578949,2025-11-21 21:27:01.578951
8,3,7,0.85,LLM,2025-11-21 21:27:01.578952,2025-11-21 21:27:01.578953
9,3,8,0.9,LLM,2025-11-21 21:27:01.578955,2025-11-21 21:27:01.578956
10,4,9,0.8,LLM,2025-11-21 21:27:01.578958,2025-11-21 21:27:01.578959
11,4,7,0.85,LLM,2025-11-21 21:27:01.578961,2025-11-21 21:27:01.578962
12,4,8,0.9,LLM,2025-11-21 21:27:01.578963,2025-11-21 21:27:01.578965
13,5,1,0.9,LLM,2025-11-21 21:27:01.578966,2025-11-21 21:27:01.578968
14,5,10,0.8,LLM,2025-11-21 21:27:01.578969,2025-11-21 21:27:01.578970
15,5,11,0.95,LLM,2025-11-21 21:27:01.578972,2025-11-21 21:27:01.578973
16,6,6,0.8,LLM,2025-11-21 21:27:19.782259,2025-11-21 21:27:19.782269
17,6,2,0.7,LLM,2025-11-21 21:27:19.782270,2025-11-21 21:27:19.782271
18,6,3,0.9,LLM,2025-11-21 21:27:19.782272,2025-11-21 21:27:19.782272
19,7,9,0.6,LLM,2025-11-21 21:27:19.782273,2025-11-21 21:27:19.782274
20,7,7,0.5,LLM,2025-11-21 21:27:19.782275,2025-11-21 21:27:19.782275
21,7,17,0.9,LLM,2025-11-21 21:27:19.782276,2025-11-21 21:27:19.782277
22,8,18,0.4,LLM,2025-11-21 21:27:19.782278,2025-11-21 21:27:19.782278
23,8,19,0.3,LLM,2025-11-21 21:27:19.782279,2025-11-21 21:27:19.782280
