name,m,s
가락국수,1.875,0.3535533905932738
가락지빵,2.875,0.3535533905932738
가랍떡,1.625,0.7440238091428449
가래떡,1.375,0.5175491695067657
가루우유,4.0,0.5345224838248488
가제육,3.375,0.5175491695067657
가지,0.625,0.5175491695067657
가지나물,0.75,0.7071067811865476
가지밥,1.25,0.4629100498862757
가츠동,3.75,0.4629100498862757
가향주,4.5,0.9258200997725514
간고등어,2.0,0.9258200997725514
간장,1.5,0.5345224838248488
간장게장,2.75,0.4629100498862757
간장치킨,3.625,0.5175491695067657
간짜장,3.25,0.7071067811865476
갈근탕,1.125,0.3535533905932738
갈낙탕,2.5,0.7559289460184544
갈릭치킨,3.625,0.5175491695067657
갈비,3.625,0.5175491695067657
갈비만두,3.125,0.3535533905932738
갈비찜,3.625,0.5175491695067657
갈비탕,2.5,0.5345224838248488
갈치,1.875,0.8345229603962802
갈치찌개,2.375,0.5175491695067657
감떡,1.625,0.7440238091428449
감자,0.5,0.5345224838248488
감자떡,1.625,0.7440238091428449
감자만두,2.25,0.4629100498862757
감자밥,0.5,0.5345224838248488
감자볶음,1.625,0.5175491695067657
감자전,2.5,0.5345224838248488
감자탕,2.875,0.8345229603962802
감자튀김,4.0,0.5345224838248488
감자핫도그,4.0,0.0
감잣국,1.25,0.4629100498862757
감주,3.625,1.5059406173077154
감태,0.625,0.5175491695067657
감향주,4.5,0.9258200997725514
갑각류,2.625,0.5175491695067657
갓김치,2.5,0.5345224838248488
강낭콩,2.625,0.7440238091428449
강냉이,2.375,0.5175491695067657
강된장,2.625,0.5175491695067657
강정,3.75,0.4629100498862757
강황밥,1.0,0.0
개떡,1.625,0.7440238091428449
개불,2.375,0.7440238091428449
개성주악,3.5,0.7559289460184544
개장,3.0,0.5345224838248488
개피떡,1.625,0.7440238091428449
갱시기,2.125,0.3535533905932738
거갑탕,2.0,0.5345224838248488
거말떡,1.625,0.7440238091428449
건나물,0.875,0.6408699444616557
건면,2.125,0.3535533905932738
건빵,2.75,0.4629100498862757
건어물,2.0,0.0
건조묵,0.75,0.4629100498862757
겉절이,2.375,0.7440238091428449
게국지,2.75,0.4629100498862757
게무침,2.75,0.4629100498862757
게장,2.75,0.4629100498862757
겨울냉면,2.625,0.5175491695067657
겨자,2.25,0.7071067811865476
