id,name,category,description,created_at,updated_at
1,SWEET,FLAVOR,달콤한 맛,2025-11-21 21:27:01.550982,2025-11-21 21:27:01.550996
2,BOILED,COOKING_METHOD,삶은 요리,2025-11-21 21:27:01.550998,2025-11-21 21:27:01.550998
3,SEAFOOD,INGREDIENT,해산물(어묵 등),2025-11-21 21:27:01.551000,2025-11-21 21:27:01.551000
4,BAKED,COOKING_METHOD,구운 요리,2025-11-21 21:27:01.551001,2025-11-21 21:27:01.551002
5,FRUIT,INGREDIENT,과일(딸기 등),2025-11-21 21:27:01.551003,2025-11-21 21:27:01.551004
6,UMAMI,FLAVOR,감칠맛,2025-11-21 21:27:01.551005,2025-11-21 21:27:01.551005
7,STEAMED,COOKING_METHOD,찐 요리,2025-11-21 21:27:01.551006,2025-11-21 21:27:01.551007
8,GRAIN,INGREDIENT,곡물(쌀),2025-11-21 21:27:01.551008,2025-11-21 21:27:01.551009
9,SAVORY,FLAVOR,짭짤한 맛,2025-11-21 21:27:01.551010,2025-11-21 21:27:01.551010
10,NUTRIENT,NUTRIENT,높은 단백질 및 칼슘 함량,2025-11-21 21:27:01.551011,2025-11-21 21:27:01.551012
11,DAIRY,INGREDIENT,유제품,2025-11-21 21:27:01.551013,2025-11-21 21:27:01.551013
17,VEGETABLE,INGREDIENT,주재료는 채소(가지),2025-11-21 21:27:19.777000,2025-11-21 21:27:19.777001
18,SOUR,FLAVOR,신맛,2025-11-21 21:27:19.777003,2025-11-21 21:27:19.777003
19,RAW,COOKING_METHOD,생으로 먹는 방식,2025-11-21 21:27:19.777004,2025-11-21 21:27:19.777005
22,MEAT,INGREDIENT,돼지고기 포함,2025-11-21 21:27:19.777009,2025-11-21 21:27:19.777030
26,GRILLED,COOKING_METHOD,구이,2025-11-21 21:27:33.500352,2025-11-21 21:27:33.500353
29,LOW_CALORIE,NUTRIENT,저열량,2025-11-21 21:27:33.500357,2025-11-21 21:27:33.500358
32,SALTY,FLAVOR,짠 맛,2025-11-21 21:27:33.500362,2025-11-21 21:27:33.500363
39,BITTER,FLAVOR,쓴맛,2025-11-21 21:27:52.288265,2025-11-21 21:27:52.288266
58,STarchy,FLAVOR,전분이 많은 맛,2025-11-21 21:28:21.836041,2025-11-21 21:28:21.836041
64,FRIED,COOKING_METHOD,튀김 조리,2025-11-21 21:28:36.679282,2025-11-21 21:28:36.679283
72,CRISPY,FLAVOR,바삭함,2025-11-21 21:28:36.679299,2025-11-21 21:28:36.679299
100,RICE,INGREDIENT,쌀,2025-11-21 21:29:33.408715,2025-11-21 21:29:33.408716
125,SPICY,FLAVOR,매운 맛,2025-11-21 21:29:59.625129,2025-11-21 21:29:59.625129
127,NUTS,ALLERGEN,견과류 알레르기 유발 물질,2025-11-21 21:30:11.808036,2025-11-21 21:30:11.808049
135,EGGS,ALLERGEN,달걀 알레르기 유발 물질,2025-11-21 21:30:11.808065,2025-11-21 21:30:11.808066
150,Baked,COOKING_METHOD,굽기,2025-11-21 21:30:28.298172,2025-11-21 21:30:28.298173
157,SOFT,FLAVOR,부드러운 맛,2025-11-21 21:30:51.540839,2025-11-21 21:30:51.540840
160,HIGH_PROTEIN,,높은 단백질 함량,2025-11-21 21:30:51.540844,2025-11-21 21:30:51.540845
164,LACTOSE_FREE,,계란은 일반적으로 락토스가 없음,2025-11-21 21:30:51.540851,2025-11-21 21:30:51.540851
167,ALLERGEN,,알레르기 유발 가능성 있음,2025-11-21 21:30:51.540855,2025-11-21 21:30:51.540856
